"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\MasterMind\Erfan\FlutterProjects\coronavirus\lib\constants\colors.dart", "Dart", 4, 0, 2, 6
"c:\Users\MasterMind\Erfan\FlutterProjects\coronavirus\lib\constants\routes.dart", "Dart", 2, 0, 1, 3
"c:\Users\MasterMind\Erfan\FlutterProjects\coronavirus\lib\main.dart", "Dart", 41, 0, 3, 44
"c:\Users\MasterMind\Erfan\FlutterProjects\coronavirus\lib\screens\base\base-controller.dart", "Dart", 9, 0, 3, 12
"c:\Users\MasterMind\Erfan\FlutterProjects\coronavirus\lib\screens\base\base.dart", "Dart", 60, 0, 2, 62
"c:\Users\MasterMind\Erfan\FlutterProjects\coronavirus\lib\screens\base\pages\home\home.dart", "Dart", 186, 0, 2, 188
"c:\Users\MasterMind\Erfan\FlutterProjects\coronavirus\lib\screens\introduction\introduction.dart", "Dart", 134, 2, 6, 142
"c:\Users\MasterMind\Erfan\FlutterProjects\coronavirus\lib\screens\introduction\pages\page1.dart", "Dart", 24, 0, 3, 27
"Total", "-", 460, 2, 22, 484
